rank,place,population,lat,lon
1,New York,8175133,40.6643,-73.9385
2,Los Angeles,3792621,34.0194,-118.4108
3,Chicago,2695598,41.8376,-87.6818
4,Houston,2100263,29.7805,-95.3863
5,Philadelphia,1526006,40.0094,-75.1333
6,Phoenix,1445632,33.5722,-112.088
7,San Antonio,1327407,29.4724,-98.5251
8,San Diego,1307402,32.8153,-117.135
9,Dallas,1197816,32.7942,-96.7655
10,San Jose,945942,37.2969,-121.8193
11,Jacksonville,821784,30.337,-81.6613
12,Indianapolis,820445,39.7767,-86.1459
13,Austin,790390,30.3072,-97.756
14,San Francisco,805235,37.7272,-123.0322
15,Columbus,787033,39.9848,-82.985
16,Fort Worth,741206,32.7795,-97.3463
17,Charlotte,731424,35.2087,-80.8307
18,Detroit,713777,42.383,-83.1022
19,El Paso,649121,31.8484,-106.427
20,Memphis,646889,35.1035,-89.9785
21,Boston,617594,42.332,-71.0202
22,Seattle,608660,47.6205,-122.3509
23,Denver,600158,39.7618,-104.8806
24,Baltimore,620961,39.3002,-76.6105
25,Washington,601723,38.9041,-77.0171
26,Nashville,601222,36.1718,-86.785
27,Louisville,597337,38.1781,-85.6667
28,Milwaukee,594833,43.0633,-87.9667
29,Portland,583776,45.537,-122.65
30,Oklahoma City,579999,35.4671,-97.5137
31,Las Vegas,583756,36.2277,-115.264
32,Albuquerque,545852,35.1056,-106.6474
33,Tucson,520116,32.1543,-110.8711
34,Fresno,494665,36.7827,-119.7945
35,Sacramento,466488,38.5666,-121.4686
36,Long Beach,462257,33.8091,-118.1553
37,Kansas City,459787,39.1252,-94.5511
38,Mesa,439041,33.4019,-111.7174
39,Virginia Beach,437994,36.7793,-76.024
40,Atlanta,420003,33.7629,-84.4227
41,Colorado Springs,416427,38.8673,-104.7607
42,Raleigh,403892,35.8302,-78.6414
43,Omaha,408958,41.2647,-96.0419
44,Miami,399457,25.7752,-80.2086
45,Tulsa,391906,36.1279,-95.9023
46,Oakland,390724,37.7699,-122.2256
47,Cleveland,396815,41.4781,-81.6795
48,Minneapolis,382578,44.9633,-93.2683
49,Wichita,382368,37.6907,-97.3427
50,Arlington,365438,32.7007,-97.1247
